"Todohuken","Category","Latitude_dmm","Longitude_dmm","Latitude_dms","Longitude_dms"
"岡山県","南端","34°17′54″W","133°32′01″W",34.2983333333333,133.533611111111
"岡山県","北端","35°21′10″″W","133°59′52″″W",35.3527777777778,133.997777777778
"広島県","都道府県庁","34°23′47″W","132°27′34″W",34.3963888888889,132.459444444444
"広島県","東端","34°18′54″W","133°28′15″W",34.315,133.470833333333
"広島県","西端","34°30′05″W","132°02′11″W",34.5013888888889,132.036388888889
"広島県","南端","34°02′05″W","132°29′07″W",34.0347222222222,132.485277777778
"広島県","北端","35°06′20″″W","132°53′18″″W",35.1055555555556,132.888333333333
"山口県","都道府県庁","34°11′09″W","131°28′17″W",34.1858333333333,131.471388888889
"山口県","東端","33°57′22″W","132°29′31″W",33.9561111111111,132.491944444444
"山口県","西端","34°06′44″W","130°46′29″W",34.1122222222222,130.774722222222
"山口県","南端","33°42′46″W","132°08′01″W",33.7127777777778,132.133611111111
"山口県","北端","34°47′55″″W","131°07′51″″W",34.7986111111111,131.130833333333
"徳島県","都道府県庁","34°03′57″W","134°33′34″W",34.0658333333333,134.559444444444
"徳島県","東端","33°51′17″W","134°49′20″W",33.8547222222222,134.822222222222
"徳島県","西端","33°52′54″W","133°39′39″W",33.8816666666667,133.660833333333
"徳島県","南端","33°32′19″W","134°19′08″W",33.5386111111111,134.318888888889
"徳島県","北端","34°15′07″″W","134°36′21″″W",34.2519444444444,134.605833333333
"香川県","都道府県庁","34°20′25″W","134°02′36″W",34.3402777777778,134.043333333333
"香川県","東端","34°14′24″W","134°26′51″W",34.24,134.4475
"香川県","西端","34°06′28″W","133°26′48″W",34.1077777777778,133.446666666667
"香川県","南端","34°00′44″W","133°41′17″W",34.0122222222222,133.688055555556
"香川県","北端","34°33′53″″W","134°20′48″″W",34.5647222222222,134.346666666667
"愛媛県","都道府県庁","33°50′30″W","132°45′58″W",33.8416666666667,132.766111111111
"愛媛県","東端","33°56′50″W","133°41′35″W",33.9472222222222,133.693055555556
"愛媛県","西端","33°20′40″W","132°00′45″W",33.3444444444444,132.0125
"愛媛県","南端","32°53′05″W","132°27′11″W",32.8847222222222,132.453055555556
"愛媛県","北端","34°18′06″″W","133°16′29″″W",34.3016666666667,133.274722222222
"高知県","都道府県庁","33°33′35″W","133°31′52″W",33.5597222222222,133.531111111111
"高知県","東端","33°32′20″W","134°18′53″W",33.5388888888889,134.314722222222
"高知県","西端","32°47′50″W","132°28′47″W",32.7972222222222,132.479722222222
"高知県","南端","32°42′09″W","132°32′35″W",32.7025,132.543055555556
"高知県","北端","33°53′00″″W","133°38′36″″W",33.8833333333333,133.643333333333
"福岡県","都道府県庁","33°36′23″W","130°25′05″W",33.6063888888889,130.418055555556
"福岡県","東端","33°33′29″W","131°11′25″W",33.5580555555556,131.190277777778
"福岡県","西端","33°41′23″W","129°58′54″W",33.6897222222222,129.981666666667
"福岡県","南端","33°00′02″W","130°23′48″W",33.0005555555556,130.396666666667
"福岡県","北端","34°15′00″″W","130°06′43″″W",34.25,130.111944444444
"佐賀県","都道府県庁","33°14′58″W","130°17′56″W",33.2494444444444,130.298888888889
"佐賀県","東端","33°22′22″W","130°32′33″W",33.3727777777778,130.5425
"佐賀県","西端","33°34′32″W","129°44′13″W",33.5755555555556,129.736944444444
"佐賀県","南端","32°57′02″W","130°13′05″W",32.9505555555556,130.218055555556
"佐賀県","北端","33°37′09″″W","129°51′45″″W",33.6191666666667,129.8625
"長崎県","都道府県庁","32°45′00″W","129°52′02″W",32.75,129.867222222222
"長崎県","東端","32°46′18″W","130°23′13″W",32.7716666666667,130.386944444444
"長崎県","西端","32°14′38″W","128°06′16″W",32.2438888888889,128.104444444444
"長崎県","南端","31°59′11″W","128°21′00″W",31.9863888888889,128.35
